iter	Passed	Remaining
0	8246	816381
1	15225	746054
2	19740	638287
3	25198	604768
4	32208	611953
5	36245	567838
6	42051	558677
7	47485	546087
8	55251	558649
9	62602	563421
10	70540	570735
11	76557	561422
12	86996	582206
13	94265	579059
14	102452	580562
15	108851	571472
16	115091	561915
17	121535	553662
18	127053	541650
19	133395	533583
20	138720	203864	21	144421	210227	22	149422	216447	23	154323	223659	24	160424	231875	695626
25	240265	683833
26	247905	670263
27	255144	656086
28	261627	640536
29	267841	624963
30	274307	610555
31	280242	595515
32	287365	583439
33	295120	572880
34	304342	565207
35	310094	551279
36	314855	536106
37	319818	521809
38	323984	506745
39	329634	494452
40	335164	482310
41	341553	471668
42	353742	468914
43	362359	461184
44	371670	454263
45	379779	445827
46	388433	438020
47	395919	428912
48	403957	420445


10
49	405224	405224
7079
51	304490	281067
52	311783	276487
53	316683	269767
54	326467	267109
55	332377	261153
56	338920	255676
3
57	354899	256996
58	361212	251012
59	367532	245021
60	377904	241611
61	383465	235027
62	389547	228782
63	396431	222992
64	401059	215955
65	408520	210450
66	417841	205802
67	423035	199075
68	430277	193313
